DEPTH,CAL,CNC,CVOL,DT,GR,PE,RD,RMSL,RS,SPBR,ZCOR,ZDEN,Cluster,Vshale,Porosity
1411.148,8.648,25.922,3.374,96.832,54.432,2.116,57.252,0.394,25.842,119.211,0.016,2.241,1,0.12717856608292175,0.24787878787878778
1411.224,8.651,25.698,3.373,97.074,55.905,1.903,60.169,0.394,26.936,119.019,0.038,2.235,1,0.1359976051489298,0.2515151515151515
1411.3,8.653,26.591,3.372,97.355,58.738,1.866,62.698,0.411,27.746,118.85,0.008,2.221,1,0.15295913785361473,0.2599999999999999
1411.376,8.653,28.473,3.371,97.544,60.728,1.902,64.639,0.428,28.249,118.705,0.018,2.207,1,0.16487352192785512,0.26848484848484855
1411.453,8.651,29.798,3.37,97.651,60.576,1.915,65.802,0.425,28.464,118.586,-0.015,2.188,1,0.16396347852117948,0.27999999999999986
1411.529,8.648,29.493,3.369,97.74,59.099,1.894,65.982,0.407,28.425,118.498,0.04,2.186,1,0.1551204909444694,0.2812121212121212
1411.605,8.645,28.122,3.368,97.859,57.925,1.851,65.089,0.388,28.179,118.441,0.038,2.185,1,0.1480916030534351,0.28181818181818175
1411.681,8.643,26.53,3.367,98.005,57.543,1.787,63.131,0.371,27.777,118.412,0.036,2.188,1,0.145804520281395,0.27999999999999986
1411.757,8.642,24.973,3.366,98.131,57.889,1.825,60.255,0.356,27.27,118.403,0.053,2.184,1,0.14787606645711723,0.2824242424242423
1411.834,8.642,23.333,3.365,98.206,59.461,1.825,56.733,0.345,26.72,118.402,0.05,2.187,1,0.15728783116299955,0.2806060606060607
1411.91,8.642,22.134,3.364,98.238,61.456,1.822,52.958,0.342,26.204,118.398,0.028,2.192,1,0.16923215087561744,0.2775757575757574
1411.986,8.642,22.131,3.363,98.253,62.161,1.786,49.419,0.349,25.809,118.385,0.056,2.203,1,0.1734530758868433,0.270909090909091
1412.062,8.642,23.727,3.362,98.275,60.654,1.817,46.605,0.368,25.622,118.357,0.022,2.198,1,0.1644304744798683,0.2739393939393939
1412.138,8.643,26.115,3.361,98.321,57.659,1.778,44.885,0.405,25.698,118.31,0.006,2.188,1,0.14649902709175272,0.27999999999999986
1412.215,8.643,27.878,3.36,98.413,54.914,1.733,44.336,0.46,26.008,118.238,-0.013,2.173,1,0.13006436162251162,0.289090909090909
1412.291,8.643,28.5,3.359,98.587,53.906,1.626,44.61,0.513,26.391,118.132,0.046,2.185,1,0.12402933692560994,0.28181818181818175
1412.367,8.643,28.025,3.358,98.893,54.74,1.732,45.056,0.525,26.602,117.986,0.046,2.185,1,0.12902260140697502,0.28181818181818175
1412.443,8.642,27.065,3.357,99.369,55.864,1.784,45.011,0.492,26.415,117.793,0.025,2.178,1,0.13575213291423438,0.28606060606060607
1412.519,8.641,26.155,3.356,99.991,56.366,1.75,44.091,0.452,25.733,117.552,0.042,2.168,1,0.13875767100733424,0.292121212121212
1412.596,8.641,25.461,3.355,100.67,55.803,1.841,42.27,0.43,24.612,117.263,0.004,2.152,1,0.13538691812602904,0.3018181818181817
1412.672,8.641,25.133,3.354,101.295,55.304,2.041,39.796,0.424,23.225,116.931,0.026,2.141,1,0.13239934141595572,0.3084848484848484
1412.748,8.64,25.597,3.353,101.785,56.778,2.171,37.058,0.429,21.78,116.568,0.031,2.141,1,0.14122436760963927,0.3084848484848484
1412.824,8.64,26.295,3.352,102.106,59.588,2.014,34.479,0.444,20.461,116.184,0.044,2.151,1,0.15804819637778778,0.3024242424242425
1412.9,8.64,26.644,3.351,102.235,61.405,1.815,32.355,0.472,19.386,115.796,0.02,2.165,1,0.16892680736416704,0.2939393939393939
