DEPTH,CAL,CNC,CVOL,DT,GR,PE,RD,RMSL,RS,SPBR,ZCOR,ZDEN,Cluster,Vshale,Porosity
948.995,8.813,45.883,20.931,57.365,68.666,15.169,2.731,1.993,3.922,,-0.568,1.892,2,0.21239934141595568,0.4593939393939394
949.071,8.812,50.133,20.929,57.299,70.571,15.2,1.512,1.992,1.978,,-0.548,1.878,2,0.22380481963777876,0.4678787878787879
949.147,8.812,54.446,20.928,57.253,73.249,15.243,0.694,1.992,0.786,,-0.554,1.858,2,0.23983834755276154,0.4799999999999999
949.223,8.812,56.921,20.926,57.248,74.783,15.245,0.275,1.992,0.253,,-0.586,1.843,2,0.24902260140697502,0.4890909090909091
949.3,8.813,55.63,20.924,57.291,72.94,15.281,0.134,1.992,0.118,,-0.591,1.837,2,0.23798832510103277,0.49272727272727274
949.376,8.814,52.916,20.923,57.351,67.961,15.291,0.112,1.992,0.107,,-0.573,1.847,2,0.20817841640472984,0.48666666666666664
949.452,8.814,51.526,20.921,57.386,63.629,15.32,0.112,1.993,0.107,,-0.527,1.875,2,0.18224217931447387,0.46969696969696967
949.528,8.813,51.27,20.919,57.378,61.96,15.259,0.112,1.993,0.107,,-0.582,1.866,2,0.17224966322406826,0.47515151515151505
949.604,8.811,52.77,20.918,57.363,61.371,15.187,0.112,1.992,0.107,,-0.785,1.845,2,0.16872324502320013,0.48787878787878786
949.681,8.808,54.829,20.916,57.402,59.83,15.117,0.112,1.992,0.107,,-0.7,1.858,2,0.1594970812752582,0.4799999999999999
949.757,8.806,54.266,20.914,57.502,56.814,15.239,0.112,1.992,0.107,,-0.612,1.899,2,0.1414399042059572,0.4551515151515151
949.833,8.806,51.039,20.913,57.614,54.331,15.322,0.112,1.992,0.107,,-0.487,1.937,2,0.12657386618769648,0.4321212121212121
949.909,8.808,48.325,20.911,57.71,53.508,15.412,0.112,1.992,0.107,,-0.588,1.917,2,0.12164646011076188,0.4442424242424242
949.985,8.811,47.807,20.91,57.79,54.864,15.385,0.112,1.992,0.107,,-0.779,1.849,2,0.1297650052387367,0.4854545454545454
950.062,8.814,49.161,20.908,57.852,58.097,15.352,0.112,1.992,0.107,,-0.855,1.802,2,0.14912138901362074,0.5
950.138,8.816,50.823,20.906,57.899,61.338,15.292,0.112,1.992,0.107,,-0.787,1.764,2,0.1685256698099087,0.5
950.214,8.817,51.323,20.905,57.912,63.267,15.27,0.112,1.992,0.107,,-0.621,1.805,2,0.18007483909594374,0.5
950.29,8.816,51.635,20.903,57.87,63.125,15.292,0.112,1.992,0.107,,-0.586,1.816,2,0.17922466696602307,0.5
950.366,8.815,52.911,20.901,57.786,61.635,15.301,0.112,1.992,0.107,,-0.605,1.81,2,0.1703038467295315,0.5
950.443,8.814,53.556,20.9,57.688,60.386,15.323,0.112,1.992,0.107,,-0.572,1.811,2,0.16282592426283493,0.5
950.519,8.813,53.554,20.898,57.601,59.694,15.315,0.112,1.992,0.107,90.878,-0.617,1.821,2,0.15868283191139054,0.5
950.595,8.812,53.912,20.896,57.55,59.542,15.33,0.112,1.992,0.107,90.288,-0.615,1.849,2,0.15777278850471488,0.4854545454545454
950.671,8.811,53.401,20.895,57.541,59.701,15.277,0.112,1.992,0.107,89.669,-0.611,1.857,2,0.158724741805119,0.4806060606060606
950.747,8.811,52.298,20.893,57.552,59.503,15.278,0.112,1.992,0.107,89.018,-0.601,1.871,2,0.15753929052537047,0.4721212121212121
950.824,8.811,51.288,20.891,57.56,58.37,15.295,0.112,1.992,0.107,88.334,-0.545,1.866,2,0.15075587486903158,0.47515151515151505
950.9,8.814,51.437,20.89,57.562,56.867,15.31,0.112,1.992,0.107,87.616,-0.591,1.854,2,0.14175722197275856,0.48242424242424237
950.976,8.817,52.871,20.888,57.563,56.478,15.357,0.112,1.992,0.107,86.87,-0.613,1.841,2,0.13942822930698998,0.4903030303030303
951.052,8.819,53.494,20.886,57.576,56.922,15.346,0.112,1.992,0.107,86.105,-0.628,1.842,2,0.14208651399491093,0.48969696969696963
951.128,8.819,51.334,20.885,57.589,57.319,15.31,0.112,1.992,0.107,85.33,-0.607,1.85,2,0.14446340368208355,0.48484848484848475
951.205,8.818,50.001,20.883,57.581,56.501,15.287,0.112,1.993,0.107,84.553,-0.567,1.866,2,0.13956593324352642,0.47515151515151505
951.281,8.815,51.997,20.881,57.547,54.979,15.269,0.112,1.993,0.107,83.783,-0.598,1.875,2,0.13045352492141896,0.46969696969696967
951.357,8.812,55.218,20.88,57.498,54.211,15.24,0.112,1.993,0.107,83.024,-0.574,1.883,2,0.12585541086663674,0.4648484848484848
951.433,8.811,57.283,20.878,57.452,54.259,15.197,0.112,1.992,0.107,82.279,-0.558,1.885,2,0.12614279299506062,0.4636363636363636
951.509,8.811,56.593,20.876,57.408,54.764,15.14,0.112,1.992,0.107,81.549,-0.561,1.887,2,0.12916629247118697,0.4624242424242424
951.586,8.811,55.054,20.875,57.363,55.465,15.121,0.112,1.991,0.107,80.829,-0.593,1.889,2,0.13336326897171086,0.4612121212121212
951.662,8.812,55.843,20.873,57.311,56.42,15.111,0.112,1.991,0.107,80.108,-0.576,1.893,2,0.13908097590181112,0.45878787878787874
951.738,8.813,60.709,20.871,57.24,57.086,15.145,0.112,1.991,0.107,79.373,-0.532,1.914,2,0.14306840293369255,0.4460606060606061
951.814,8.814,65.834,20.87,57.145,56.544,15.19,0.112,1.991,0.107,78.611,-0.471,1.939,2,0.1398233797335728,0.43090909090909085
951.89,8.814,65.728,20.868,57.05,54.595,15.271,0.112,1.991,0.107,77.812,-0.52,1.961,2,0.12815446789402785,0.4175757575757575
951.967,8.814,60.654,20.866,56.999,52.471,15.297,0.112,1.991,0.107,76.975,-0.512,1.977,2,0.11543780871127075,0.4078787878787878
952.043,8.814,53.835,20.865,57.026,51.59,15.288,0.112,1.991,0.107,76.103,-0.547,1.975,2,0.11016314922915735,0.409090909090909
952.119,8.814,49.249,20.863,57.138,51.726,15.291,0.112,1.991,0.107,75.205,-0.531,1.981,2,0.110977398593025,0.40545454545454535
952.195,8.815,48.593,20.862,57.318,51.5,15.296,0.112,1.991,0.107,74.284,-0.587,1.978,2,0.10962430773836253,0.40727272727272723
952.271,8.817,50.477,20.86,57.535,50.601,15.326,0.112,1.99,0.107,73.347,-0.501,1.969,2,0.10424187995809012,0.41272727272727266
952.348,8.82,53.112,20.858,57.774,50.478,15.339,0.112,1.99,0.107,72.395,-0.556,1.94,2,0.10350546325400391,0.4303030303030303
952.424,8.824,54.911,20.857,58.036,52.401,15.349,0.112,1.99,0.107,71.432,-0.587,1.923,2,0.11501870977398596,0.44060606060606056
952.5,8.826,55.672,20.855,58.306,55.24,15.376,0.112,1.99,0.107,70.46,-0.508,1.914,2,0.13201616524472387,0.4460606060606061
952.576,8.827,55.684,20.853,58.554,56.438,15.427,0.112,1.989,0.107,69.477,-0.585,1.907,2,0.1391887441999701,0.45030303030303026
952.652,8.825,54.992,20.852,58.732,55.792,15.493,0.112,1.989,0.107,68.48,-0.51,1.889,2,0.13532105972159858,0.4612121212121212
952.729,8.821,52.855,20.85,58.808,55.675,15.512,0.112,1.988,0.107,67.466,-0.54,1.875,2,0.13462056578356532,0.46969696969696967
952.805,8.817,49.566,20.848,58.787,57.707,15.485,0.112,1.988,0.107,66.429,-0.478,1.852,2,0.14678640922017663,0.48363636363636353
952.881,8.814,48.334,20.847,58.698,60.404,15.439,0.112,1.986,0.107,65.368,-0.546,1.827,2,0.16293369256099388,0.4987878787878788
952.957,8.812,50.383,20.845,58.568,61.292,15.386,0.112,1.984,0.107,64.282,-0.583,1.805,2,0.16825026193683582,0.5
953.033,8.813,55.878,20.843,58.416,59.936,15.409,0.112,1.979,0.107,63.173,-0.626,1.792,2,0.16013171680886096,0.5
953.11,8.814,62.755,20.842,58.255,58.557,15.446,0.112,1.962,0.107,62.04,-0.606,1.787,2,0.15187546774434968,0.5
953.186,8.815,67.843,20.84,58.093,58.84,15.482,0.112,1.854,0.107,60.883,-0.662,1.779,2,0.15356982487651552,0.5
953.262,8.815,71.615,20.838,57.942,59.964,15.47,0.112,2.262,0.107,59.7,-0.645,1.776,2,0.16029935638377488,0.5
953.338,8.814,73.556,20.837,57.809,60.224,15.458,0.112,1.794,0.107,58.488,-0.618,1.773,2,0.16185600957940427,0.5
953.414,8.812,72.503,20.835,57.701,59.33,15.456,0.112,0.581,0.107,57.244,-0.691,1.775,2,0.15650351743750934,0.5
953.491,8.81,68.901,20.833,57.621,58.666,15.458,0.112,0.239,0.107,55.963,-0.668,1.776,2,0.15252806466097887,0.5
953.567,8.807,65.402,20.832,57.572,59.148,15.442,0.112,0.14,0.107,54.64,-0.623,1.771,2,0.1554138602005688,0.5
953.643,8.806,65.76,20.83,57.541,60.321,15.425,0.112,0.107,0.107,53.27,-0.647,1.769,2,0.16243676096392756,0.5
953.719,8.805,72.504,20.828,57.519,60.772,15.429,0.112,0.098,0.107,51.849,-0.615,1.762,2,0.165136955545577,0.5
953.795,8.805,83.343,20.827,57.5,60.354,15.436,0.112,0.099,0.107,50.373,-0.626,1.762,2,0.16263433617721898,0.5
953.872,8.805,87.747,20.825,57.489,60.1,15.409,0.112,0.1,0.107,48.84,-0.65,1.761,2,0.16111360574764258,0.5
953.948,8.806,83.83,20.823,57.489,59.65,15.364,0.112,0.1,0.107,47.25,-0.675,1.752,2,0.1584193982936686,0.5
954.024,8.806,78.04,20.822,57.496,58.798,15.326,0.112,0.1,0.107,45.606,-0.611,1.752,2,0.1533183655141446,0.5
954.1,8.807,73.133,20.82,57.503,58.002,15.297,0.112,0.1,0.107,43.912,-0.683,1.748,2,0.14855261188444846,0.5
954.176,8.807,69.758,20.819,57.507,58.051,15.294,0.112,0.1,0.107,42.173,-0.626,1.761,2,0.14884598114054784,0.5
954.253,8.808,66.558,20.817,57.513,58.539,15.259,0.112,0.1,0.107,40.392,-0.634,1.761,2,0.1517676994461907,0.5
954.329,8.809,63.623,20.815,57.52,58.875,15.252,0.112,0.1,0.107,38.57,-0.596,1.765,2,0.15377937434515793,0.5
954.405,8.81,61.764,20.814,57.527,59.129,15.243,0.112,0.1,0.107,36.703,-0.635,1.758,2,0.15530010477473433,0.5
954.481,8.811,61.195,20.812,57.53,59.922,15.216,0.112,0.1,0.107,34.785,-0.638,1.763,2,0.16004789702140398,0.5
954.557,8.811,61.25,20.81,57.532,61.366,15.147,0.112,0.1,0.107,32.805,-0.641,1.763,2,0.16869330938482263,0.5
954.634,8.811,60.318,20.809,57.537,61.522,15.085,0.112,0.1,0.107,30.75,-0.627,1.763,2,0.16962730130220027,0.5
954.71,8.811,56.636,20.807,57.54,60.125,15.059,0.112,0.1,0.107,28.608,-0.672,1.77,2,0.16126328393953002,0.5
954.786,8.811,53.788,20.805,57.53,58.761,15.069,0.112,0.1,0.107,26.366,-0.654,1.782,2,0.1530968417901512,0.5
954.862,8.812,56.407,20.804,57.504,59.129,15.056,0.112,0.1,0.107,24.017,-0.574,1.797,2,0.15530010477473433,0.5
954.938,8.812,63.097,20.802,57.479,60.43,15.033,0.112,0.1,0.107,21.555,-0.61,1.805,2,0.1630893578805568,0.5
955.015,8.812,67.039,20.8,57.469,61.232,14.995,0.112,0.1,0.107,18.975,-0.624,1.819,2,0.16789103427630594,0.5
955.091,8.811,63.452,20.799,57.471,60.957,15.006,0.112,0.1,0.107,16.272,-0.549,1.829,2,0.16624457416554408,0.49757575757575756
955.167,8.811,57.494,20.797,57.482,60.278,14.997,0.112,0.1,0.107,13.438,-0.591,1.82,2,0.16217931447388115,0.5
955.243,8.81,55.561,20.795,57.515,60.204,14.983,0.112,0.1,0.107,10.459,-0.599,1.819,2,0.16173626702589433,0.5
955.319,8.811,58.363,20.794,57.557,60.543,14.912,0.112,0.1,0.107,7.315,-0.553,1.804,2,0.16376590330788804,0.5
955.396,8.813,60.725,20.792,57.577,61.01,14.842,0.112,0.1,0.107,3.985,-0.573,1.794,2,0.16656189193234544,0.5
955.472,8.815,59.138,20.79,57.659,60.984,14.798,0.112,0.1,0.107,0.442,-0.573,1.78,2,0.16640622661278254,0.5
955.548,8.817,57.82,20.789,58.091,60.718,14.764,0.112,0.1,0.107,-3.343,-0.591,1.765,2,0.16481365065110015,0.5
955.624,8.82,58.411,20.787,59.205,60.286,14.737,0.112,0.1,0.107,-7.406,-0.576,1.76,2,0.16222721149528516,0.5
955.7,8.821,59.153,20.785,60.963,59.484,14.727,0.112,0.1,0.107,-11.793,-0.589,1.743,2,0.15742553509953602,0.5
955.777,8.822,59.045,20.784,62.82,58.374,14.73,0.112,0.1,0.107,-16.568,-0.562,1.734,2,0.15077982337973359,0.5
955.853,8.823,59.272,20.782,64.103,57.486,14.693,0.112,0.1,0.107,-21.811,-0.574,1.72,2,0.14546325400389162,0.5
955.929,8.823,61.981,20.78,64.556,56.703,14.678,0.112,0.1,0.107,-27.606,-0.555,1.715,2,0.14077533303397696,0.5
956.005,8.824,65.571,20.779,64.446,56.48,14.656,0.112,0.1,0.107,-33.978,-0.553,1.705,2,0.13944020356234096,0.5
956.081,8.826,66.373,20.777,64.005,57.436,14.694,0.112,0.1,0.107,-40.769,-0.56,1.697,2,0.14516389762011675,0.5
956.158,8.828,62.503,20.775,63.266,59.053,14.702,0.112,0.1,0.107,-47.508,-0.56,1.691,2,0.1548450830713965,0.5
956.234,8.83,58.122,20.774,62.505,60.703,14.72,0.112,0.1,0.107,-53.379,-0.521,1.684,2,0.16472384373596768,0.5
956.31,8.832,57.351,20.772,62.323,61.634,14.685,0.112,0.1,0.107,-57.324,-0.526,1.677,2,0.17029785960185603,0.5
956.386,8.833,59.628,20.77,63.199,61.855,14.595,0.112,0.1,0.107,-58.279,-0.531,1.662,2,0.171621014818141,0.5
956.462,8.835,63.797,20.769,65.057,61.594,14.452,0.112,0.1,0.107,-55.457,-0.51,1.663,2,0.17005837449483613,0.5
956.539,8.836,67.477,20.767,67.497,61.283,14.285,0.112,0.1,0.107,-48.568,-0.525,1.661,2,0.16819637778775634,0.5
956.615,8.836,70.076,20.765,70.246,60.672,14.205,0.112,0.1,0.107,-37.912,-0.532,1.665,2,0.16453824277802723,0.5
956.691,8.836,71.389,20.764,73.261,59.776,14.175,0.112,0.1,0.107,-24.322,-0.522,1.66,2,0.15917377638078134,0.5
956.767,8.834,72.135,20.762,76.249,59.216,14.289,0.112,0.1,0.107,-9.011,-0.523,1.659,2,0.15582098488250262,0.5
956.843,8.831,73.66,20.76,78.398,59.022,14.307,0.112,0.1,0.107,6.618,-0.581,1.657,2,0.15465948211345606,0.5
956.92,8.829,74.531,20.759,79.147,58.794,14.344,0.112,0.1,0.107,21.161,-0.574,1.654,2,0.1532944170034426,0.5
956.996,8.828,74.107,20.757,78.78,58.29,14.207,0.112,0.1,0.107,33.44,-0.552,1.654,2,0.15027690465499177,0.5
957.072,8.83,73.496,20.755,78.33,57.806,14.344,0.112,0.1,0.107,42.723,-0.517,1.683,2,0.1473791348600509,0.5
957.148,8.838,73.781,20.754,78.695,57.375,14.708,0.112,0.1,0.107,48.851,-0.552,1.718,2,0.1447986828319114,0.5
957.224,8.852,72.917,20.752,80.004,57.497,15.457,0.112,0.1,0.107,52.188,-0.395,1.776,2,0.14552911240832211,0.5
957.301,8.873,70.336,20.75,81.995,58.334,15.933,0.112,0.1,0.107,53.44,-0.673,1.698,2,0.15054033827271368,0.5
957.377,8.901,66.94,20.749,84.435,58.683,16.144,0.112,0.1,0.107,53.392,-0.941,1.548,2,0.15262984583146236,0.5
957.453,8.939,64.755,20.747,87.191,58.226,16.424,0.112,0.1,0.107,52.695,-0.98,1.42,2,0.14989372848375992,0.5
957.529,8.993,64.904,20.745,90.093,58.163,15.552,0.112,0.1,0.107,51.76,-1.192,1.306,2,0.14951653944020354,0.5
957.605,9.076,65.761,20.743,93.136,59.521,12.747,0.112,0.1,0.107,50.776,-1.121,1.319,2,0.15764705882352942,0.5
957.682,9.199,66.285,20.742,96.6,62.456,6.925,0.112,0.1,0.107,49.796,-0.988,1.301,2,0.17521927855111513,0.5
957.758,9.382,66.939,20.74,100.747,66.525,3.553,0.114,0.099,0.108,48.833,-0.459,1.418,2,0.1995809010627152,0.5
957.834,9.636,68.936,20.738,103.437,70.634,1.789,0.123,0.1,0.11,47.891,-0.451,1.521,0,0.22418200868133514,0.5
957.91,9.964,70.321,20.735,108.246,74.937,1.817,0.466,0.104,0.138,46.97,-0.364,1.636,0,0.24994461906900164,0.5
957.986,10.348,68.533,20.733,112.957,80.067,2.107,463.0,0.113,0.347,46.069,0.248,1.744,0,0.2806585840443047,0.5
958.063,10.756,62.89,20.73,117.298,84.484,2.393,2673.13,0.119,1.03,45.19,0.125,1.618,0,0.30710372698697797,0.5
958.139,11.146,56.461,20.727,120.776,87.247,2.542,7531.909,0.117,2.347,44.334,0.049,1.513,0,0.3236461607543781,0.5
958.215,11.487,52.083,20.723,123.126,89.306,2.558,14349.605,0.111,4.172,43.503,0.056,1.459,0,0.3359736566382278,0.5
958.291,11.778,51.666,20.719,124.52,92.111,2.374,21088.684,0.106,6.077,42.692,0.09,1.522,0,0.35276754976799884,0.5
958.367,12.065,54.314,20.715,125.433,96.968,2.288,25294.178,0.103,7.51,41.895,0.157,1.635,0,0.38184702888789107,0.5
958.444,12.43,55.741,20.71,126.247,103.078,2.27,25293.119,0.106,8.046,41.105,0.175,1.774,0,0.41842837898518187,0.5
958.52,12.94,53.625,20.706,126.854,108.144,2.354,21085.16,0.123,7.614,40.322,-0.038,1.843,0,0.4487591677892531,0.4890909090909091
958.596,13.126,50.1,20.7,127.026,111.48,2.46,14344.313,0.169,6.51,39.55,-0.009,1.836,0,0.4687322257147134,0.49333333333333323
958.672,13.312,48.058,20.694,127.094,113.531,2.571,7527.736,0.268,5.25,38.797,0.029,1.785,0,0.48101182457715913,0.5
958.748,13.497,47.504,20.687,127.417,114.298,2.647,2672.635,0.367,4.294,38.074,-0.001,1.729,0,0.48560395150426583,0.5
958.825,13.683,48.58,20.679,127.573,114.73,2.599,465.501,0.305,3.831,37.388,0.205,1.739,0,0.48819039066008085,0.5
958.901,13.869,49.439,20.671,126.591,115.607,2.431,4.894,0.211,3.743,36.745,0.174,1.74,0,0.4934411016314923,0.5
958.977,14.055,49.874,20.662,123.789,116.117,2.254,4.717,0.163,3.876,36.15,0.184,1.846,0,0.49649453674599614,0.4872727272727272
959.053,14.241,49.411,20.653,119.482,114.774,2.129,4.796,0.147,4.154,35.603,0.259,2.024,0,0.4884538242778027,0.37939393939393934
959.129,14.427,47.201,20.645,114.742,111.273,2.131,5.035,0.155,4.562,35.104,0.354,2.194,0,0.4674928902858853,0.27636363636363637
959.206,14.612,45.596,20.638,110.251,108.34,2.098,5.517,0.192,5.082,34.649,0.309,2.264,0,0.4499326448136507,0.23393939393939403
959.282,14.798,46.244,20.63,106.275,108.472,2.054,6.291,0.271,5.646,34.228,0.217,2.279,0,0.4507229456668163,0.22484848484848485
959.358,14.984,49.338,20.623,103.912,109.696,2.026,7.31,0.421,6.147,33.827,0.205,2.284,0,0.45805118994162547,0.2218181818181819
959.434,14.969,51.228,20.617,104.769,109.076,2.191,8.413,0.657,6.474,33.433,0.218,2.274,0,0.4543391707828169,0.22787878787878782
959.51,15.012,50.787,20.61,109.065,107.939,2.262,9.378,0.842,6.561,33.03,0.288,2.237,0,0.447531806615776,0.2503030303030302
959.587,15.092,49.181,20.603,114.829,109.023,2.398,10.004,0.819,6.413,32.6,0.186,2.144,0,0.45402185301601555,0.30666666666666653
959.663,15.208,48.472,20.596,119.424,111.889,2.332,10.191,0.676,6.101,32.121,0.062,2.058,0,0.47118096093399187,0.3587878787878789
959.739,15.358,49.475,20.589,121.693,113.104,2.308,9.963,0.555,5.728,31.56,-0.057,1.977,0,0.4784553210597216,0.4078787878787878
959.815,15.511,50.632,20.582,122.405,112.202,2.295,9.454,0.5,5.377,30.861,0.032,1.976,0,0.47305493189642267,0.40848484848484845
959.891,15.604,50.763,20.575,122.421,112.943,2.57,8.84,0.479,5.094,29.945,0.169,2.003,0,0.47749139350396647,0.39212121212121204
959.968,15.574,48.808,20.567,121.031,116.541,2.793,8.27,0.389,4.882,28.723,0.315,2.056,0,0.4990330788804071,0.35999999999999993
960.044,15.389,46.218,20.56,116.922,118.522,2.786,7.822,0.261,4.714,27.115,0.339,2.107,0,0.5108935788055681,0.32909090909090893
960.12,15.07,41.839,20.552,110.218,115.982,2.445,7.504,0.186,4.563,25.096,0.181,2.151,0,0.4956862745098039,0.3024242424242425
960.196,14.686,37.212,20.545,102.889,110.8,2.093,7.281,0.165,4.406,22.713,0.03,2.193,0,0.46466097889537494,0.2769696969696969
960.272,14.327,34.789,20.539,97.106,104.936,1.751,7.12,0.187,4.237,20.086,0.052,2.263,0,0.4295524622062566,0.23454545454545456
960.349,14.058,34.52,20.533,93.619,98.893,1.693,7.006,0.271,4.063,17.383,0.026,2.325,0,0.3933722496632241,0.19696969696969682
960.425,13.906,35.395,20.527,91.851,92.14,1.748,6.93,0.451,3.894,14.776,0.067,2.355,0,0.35294117647058826,0.17878787878787875
960.501,13.856,35.337,20.522,91.055,86.515,1.81,6.886,0.654,3.74,12.412,0.052,2.367,0,0.3192635832959138,0.17151515151515148
960.577,13.867,34.025,20.516,91.018,84.282,1.765,6.868,0.729,3.609,10.407,0.051,2.365,0,0.3058943271965274,0.17272727272727256
960.653,13.902,31.848,20.511,91.728,85.216,1.736,6.875,0.736,3.508,8.848,0.035,2.347,0,0.3114863044454423,0.1836363636363636
960.73,13.944,29.948,20.505,92.988,86.443,1.665,6.915,0.731,3.443,7.797,-0.017,2.323,0,0.31883251010327796,0.19818181818181815
960.806,13.989,28.49,20.499,94.468,86.242,1.729,6.996,0.711,3.415,7.268,-0.008,2.296,0,0.31762909744050294,0.21454545454545462
960.882,14.035,27.398,20.494,95.788,84.653,1.763,7.123,0.666,3.418,7.223,0.135,2.297,0,0.30811555156413717,0.21393939393939382
960.958,14.08,27.737,20.488,96.614,82.365,1.789,7.295,0.613,3.443,7.567,0.248,2.284,0,0.2944170034425984,0.2218181818181819
961.034,14.127,29.299,20.482,96.832,81.54,1.786,7.505,0.589,3.476,8.181,0.132,2.291,0,0.2894776231103129,0.2175757575757576
961.111,14.177,31.672,20.476,96.647,82.495,1.757,7.741,0.608,3.508,8.955,0.033,2.286,0,0.29519533004041315,0.22060606060606056
961.187,14.233,34.372,20.471,96.511,84.031,1.828,7.992,0.653,3.532,9.821,0.035,2.299,0,0.3043915581499776,0.21272727272727274
961.263,14.293,36.837,20.465,96.987,84.42,1.908,8.245,0.69,3.548,10.75,0.025,2.31,0,0.3067205508157462,0.20606060606060597
961.339,14.353,38.287,20.459,98.363,84.348,1.907,8.491,0.69,3.556,11.723,0.114,2.306,0,0.3062894776231103,0.2084848484848484
961.415,14.409,38.2,20.453,100.39,84.743,1.827,8.724,0.691,3.563,12.717,0.14,2.274,0,0.30865439305493186,0.22787878787878782
961.492,14.455,37.965,20.446,102.509,86.117,1.819,8.935,0.727,3.573,13.706,-0.034,2.186,0,0.31688070648106575,0.2812121212121212
961.568,14.491,38.529,20.44,104.176,88.431,1.963,9.115,0.674,3.591,14.683,-0.038,2.122,0,0.3307349199221673,0.32
961.644,14.516,39.622,20.434,105.183,90.842,2.085,9.259,0.469,3.617,15.653,0.231,2.124,0,0.34516988474779225,0.3187878787878787
961.72,14.532,39.897,20.428,105.753,93.972,2.101,9.372,0.317,3.65,16.622,0.287,2.137,0,0.36390959437209996,0.31090909090909086
961.796,14.543,39.136,20.422,106.022,97.287,2.169,9.462,0.261,3.684,17.564,0.033,2.147,0,0.38375692261637484,0.3048484848484849
961.873,14.552,39.304,20.415,105.67,100.543,2.284,9.547,0.278,3.718,18.413,0.016,2.182,0,0.40325101032779526,0.28363636363636363
961.949,14.562,40.713,20.409,104.417,103.541,2.058,9.64,0.371,3.751,19.071,0.027,2.229,0,0.42120041909893724,0.2551515151515151
962.025,14.574,42.262,20.403,102.573,106.428,2.001,9.755,0.538,3.784,19.443,0.025,2.268,0,0.43848525669809907,0.2315151515151516
962.101,14.593,42.396,20.396,100.975,108.785,1.873,9.897,0.642,3.818,19.481,0.035,2.281,0,0.4525969166292471,0.22363636363636352
962.177,14.62,40.693,20.39,100.46,109.168,1.745,10.069,0.623,3.852,19.199,0.044,2.279,0,0.4548899865289628,0.22484848484848485
962.254,14.654,39.897,20.384,101.272,106.861,1.756,10.273,0.612,3.884,18.664,0.016,2.272,0,0.4410776829815896,0.22909090909090918
962.33,14.689,42.247,20.377,102.938,101.47,1.655,10.514,0.618,3.914,17.978,0.102,2.268,0,0.4088010776829816,0.2315151515151516
962.406,14.724,46.737,20.371,104.745,94.923,1.781,10.795,0.608,3.945,17.259,0.086,2.258,0,0.3696033527914983,0.23757575757575752
962.482,14.756,49.543,20.364,106.189,90.423,1.876,11.113,0.598,3.981,16.626,0.06,2.258,0,0.34266127825175874,0.23757575757575752
962.558,14.785,47.465,20.358,107.132,89.239,1.955,11.45,0.604,4.024,16.186,0.061,2.263,0,0.3355725190839695,0.23454545454545456
962.635,14.813,42.107,20.351,107.844,90.605,2.001,11.775,0.629,4.071,16.007,0.077,2.275,0,0.34375093548869934,0.2272727272727273
962.711,14.841,37.594,20.345,108.718,94.348,1.943,12.054,0.659,4.117,16.103,0.063,2.276,0,0.3661607543780871,0.22666666666666674
962.787,14.87,35.412,20.338,109.845,99.981,1.899,12.253,0.677,4.153,16.434,0.026,2.276,0,0.3998862445741655,0.22666666666666674
962.863,14.901,34.157,20.332,111.08,105.109,1.776,12.347,0.676,4.172,16.919,0.053,2.278,0,0.4305882352941176,0.2254545454545454
962.939,14.933,34.23,20.325,112.435,107.145,1.84,12.334,0.663,4.166,17.464,0.097,2.273,0,0.4427780272414309,0.22848484848484837
963.016,14.971,37.668,20.318,114.08,105.274,1.97,12.232,0.648,4.138,17.994,0.113,2.26,0,0.4315761113605748,0.23636363636363644
963.092,15.016,43.846,20.311,115.988,101.942,2.069,12.078,0.639,4.095,18.477,0.022,2.249,0,0.4116270019458165,0.24303030303030293
963.168,15.068,49.498,20.305,117.779,99.804,2.035,11.919,0.639,4.047,18.926,0.092,2.251,0,0.39882652297560245,0.24181818181818185
963.244,15.124,51.555,20.298,118.9,98.281,2.054,11.788,0.637,4.001,19.389,0.021,2.248,0,0.3897081275258195,0.24363636363636346
963.32,15.178,50.892,20.291,119.106,95.342,1.978,11.701,0.628,3.957,19.928,0.044,2.255,0,0.3721119592875318,0.2393939393939394
963.397,15.226,50.27,20.284,118.715,91.869,1.951,11.657,0.624,3.916,20.616,0.058,2.257,0,0.3513186648705284,0.23818181818181808
963.473,15.265,49.982,20.277,118.171,90.142,1.806,11.64,0.634,3.873,21.529,0.056,2.271,0,0.34097889537494386,0.2296969696969697
963.549,15.295,47.666,20.27,117.63,90.409,1.699,11.624,0.656,3.825,22.745,0.046,2.275,0,0.34257745846430177,0.2272727272727273
963.625,15.321,44.456,20.262,117.234,91.039,1.568,11.582,0.672,3.77,24.325,0.077,2.28,0,0.3463493488998653,0.22424242424242433
963.701,15.344,44.266,20.255,117.28,89.956,1.497,11.494,0.658,3.705,26.3,0.062,2.27,0,0.33986528962730134,0.23030303030303026
963.778,15.368,47.779,20.248,117.853,87.091,1.541,11.349,0.614,3.632,28.664,0.043,2.24,0,0.32271216883700043,0.2484848484848483
963.854,15.392,51.538,20.241,118.739,83.848,1.574,11.149,0.566,3.555,31.361,0.026,2.197,0,0.30329591378536147,0.2745454545454545
963.93,15.414,51.046,20.234,119.552,80.623,1.576,10.911,0.54,3.478,34.294,-0.022,2.134,0,0.2839874270318815,0.31272727272727274
964.006,15.432,45.704,20.226,119.877,78.28,1.672,10.657,0.542,3.409,37.329,0.009,2.104,0,0.2699595868881904,0.3309090909090908
